127.0.0.1 - - [23/Feb/2020:01:33:36 -0500] GET /throttle/data/v1/revokedjwt HTTP/1.1 200 12 - - 5.614
127.0.0.1 - - [23/Feb/2020:01:33:36 -0500] GET /throttle/data/v1/block HTTP/1.1 200 68 - - 5.613
127.0.0.1 - - [23/Feb/2020:01:33:36 -0500] GET /throttle/data/v1/keyTemplates HTTP/1.1 200 12 - - 5.613
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:20 -0500] GET /carbon HTTP/1.1 302 - - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.114
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:20 -0500] GET /carbon/admin/index.jsp HTTP/1.1 302 - - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.022
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:29 -0500] GET /carbon/admin/login.jsp HTTP/1.1 200 3714 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 8.491
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:29 -0500] GET /carbon/admin/css/global.css HTTP/1.1 200 5311 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.014
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:29 -0500] GET /carbon/styles/css/main.css HTTP/1.1 200 1240 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.014
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:29 -0500] GET /carbon/dialog/css/jqueryui/jqueryui-themeroller.css HTTP/1.1 200 4020 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.016
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:29 -0500] GET /carbon/admin/css/carbonFormStyles.css HTTP/1.1 200 2050 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.007
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:29 -0500] GET /carbon/dialog/css/dialog.css HTTP/1.1 200 556 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.007
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:29 -0500] GET /carbon/admin/js/jquery-1.6.3.min.js HTTP/1.1 200 32564 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.057
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:29 -0500] GET /carbon/admin/js/jquery.validate.js HTTP/1.1 200 10290 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.027
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:29 -0500] GET /carbon/admin/js/main.js HTTP/1.1 200 15412 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.026
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:29 -0500] GET /carbon/yui/build/yahoo-dom-event/yahoo-dom-event.js HTTP/1.1 200 10684 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.063
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:29 -0500] GET /carbon/admin/js/jquery.cookie.js HTTP/1.1 200 1529 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.015
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:29 -0500] GET /carbon/admin/js/jquery.ui.core.min.js HTTP/1.1 200 1996 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.011
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:29 -0500] GET /carbon/admin/js/jquery.ui.tabs.min.js HTTP/1.1 200 3594 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.004
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:29 -0500] GET /carbon/admin/js/jquery.ui.widget.min.js HTTP/1.1 200 1344 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.016
