127.0.0.1 - - [25/Feb/2020:00:29:02 -0500] POST /oauth2/token HTTP/1.1 200 1949 - Synapse-PT-HttpComponents-NIO 0.124
127.0.0.1 - - [25/Feb/2020:00:30:27 -0500] POST /oauth2/token HTTP/1.1 200 1949 - Synapse-PT-HttpComponents-NIO 0.027
127.0.0.1 - - [25/Feb/2020:00:39:56 -0500] POST /oauth2/token HTTP/1.1 200 1949 - Synapse-PT-HttpComponents-NIO 0.043
127.0.0.1 - - [25/Feb/2020:00:41:09 -0500] POST /oauth2/token HTTP/1.1 200 1949 - Synapse-PT-HttpComponents-NIO 0.038
127.0.0.1 - - [25/Feb/2020:00:42:21 -0500] POST /oauth2/token HTTP/1.1 200 1949 - Synapse-PT-HttpComponents-NIO 0.028
127.0.0.1 - - [25/Feb/2020:00:44:26 -0500] POST /oauth2/token HTTP/1.1 200 1949 - Synapse-PT-HttpComponents-NIO 0.029
127.0.0.1 - - [25/Feb/2020:00:44:56 -0500] POST /oauth2/token HTTP/1.1 200 1949 - Synapse-PT-HttpComponents-NIO 0.080
127.0.0.1 - - [25/Feb/2020:00:45:18 -0500] POST /oauth2/token HTTP/1.1 200 1949 - Synapse-PT-HttpComponents-NIO 0.029
127.0.0.1 - - [25/Feb/2020:00:46:19 -0500] POST /oauth2/token HTTP/1.1 200 1949 - Synapse-PT-HttpComponents-NIO 0.026
127.0.0.1 - - [25/Feb/2020:00:47:40 -0500] POST /oauth2/token HTTP/1.1 200 1949 - Synapse-PT-HttpComponents-NIO 0.033
127.0.0.1 - - [25/Feb/2020:00:48:13 -0500] POST /oauth2/token HTTP/1.1 200 1949 - Synapse-PT-HttpComponents-NIO 0.025
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:07 -0500] GET /oauth2/token/.well-known/openid-configuration HTTP/1.1 200 1659 https://jwt.io/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 1.687
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:39 -0500] GET /publisher HTTP/1.1 302 - - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.000
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:39 -0500] GET /publisher/ HTTP/1.1 200 1863 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.193
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:39 -0500] GET /publisher/site/public/css/main.css HTTP/1.1 200 1119 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.080
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:39 -0500] GET /publisher/site/public/fonts/iconfont/material-icons.css HTTP/1.1 200 970 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.021
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:39 -0500] GET /publisher/site/public/fonts/iconfont/MaterialIcons.js HTTP/1.1 200 6703 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.008
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:39 -0500] GET /publisher/site/public/theme/defaultTheme.js HTTP/1.1 200 1666 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.001
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:39 -0500] GET /publisher/site/public/css/draftjs.css HTTP/1.1 200 2643 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.022
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:40 -0500] GET /publisher/site/public/dist/index.bundle.js HTTP/1.1 200 1251729 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 1.296
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:41 -0500] GET /publisher/site/public/locales/es.json HTTP/1.1 404 - https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.005
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:42 -0500] GET /api/am/publisher/v1.0/swagger.yaml HTTP/1.1 200 394752 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.044
