127.0.0.1 - - [01/Mar/2020:00:40:35 -0500] POST /oauth2/token HTTP/1.1 200 2413 - Synapse-PT-HttpComponents-NIO 0.160
127.0.0.1 - - [01/Mar/2020:01:42:36 -0500] POST /oauth2/token HTTP/1.1 200 2413 - Synapse-PT-HttpComponents-NIO 0.211
127.0.0.1 - - [01/Mar/2020:02:52:43 -0500] POST /oauth2/token HTTP/1.1 200 2413 - Synapse-PT-HttpComponents-NIO 0.117
127.0.0.1 - - [01/Mar/2020:10:03:12 -0500] POST /oauth2/token HTTP/1.1 200 2413 - Synapse-PT-HttpComponents-NIO 0.763
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:34 -0500] GET /publisher/apis HTTP/1.1 200 1863 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.232
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:35 -0500] GET /publisher/site/public/css/main.css HTTP/1.1 200 1119 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.200
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:35 -0500] GET /publisher/site/public/theme/defaultTheme.js HTTP/1.1 200 1666 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.003
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:35 -0500] GET /publisher/site/public/fonts/iconfont/material-icons.css HTTP/1.1 200 970 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.035
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:35 -0500] GET /publisher/site/public/css/draftjs.css HTTP/1.1 200 2643 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.151
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:35 -0500] GET /publisher/site/public/fonts/iconfont/MaterialIcons.js HTTP/1.1 200 6703 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.181
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:36 -0500] GET /publisher/site/public/dist/index.bundle.js HTTP/1.1 200 1251729 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 1.564
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:37 -0500] GET /publisher/site/public/locales/es.json HTTP/1.1 404 - https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.004
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:37 -0500] GET /api/am/publisher/v1.0/swagger.yaml HTTP/1.1 200 394752 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.049
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:38 -0500] GET /publisher/site/public/images/_favicon.ico HTTP/1.1 200 1150 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.003
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:38 -0500] GET /publisher/site/public/images/favicon.ico HTTP/1.1 200 162098 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.042
127.0.0.1 - - [01/Mar/2020:12:03:39 -0500] POST /oauth2/token HTTP/1.1 400 85 - Jakarta Commons-HttpClient/3.1 0.034
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:39 -0500] POST /publisher/services/refresh/refresh.jag HTTP/1.1 500 81 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.356
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:40 -0500] GET /api/am/publisher/v1.0/settings HTTP/1.1 401 101 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 1.460
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:41 -0500] GET /publisher/services/auth/callback/logout HTTP/1.1 302 - https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.328
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:41 -0500] GET /publisher/logout HTTP/1.1 200 1863 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.003
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:41 -0500] GET /publisher/site/public/locales/es.json HTTP/1.1 404 - https://localhost:9443/publisher/logout Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.002
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:41 -0500] GET /api/am/publisher/v1.0/swagger.yaml HTTP/1.1 200 394752 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.033
127.0.0.1 - - [01/Mar/2020:12:03:41 -0500] GET /api/am/publisher/v1.0/settings HTTP/1.1 200 726 - Jakarta Commons-HttpClient/3.1 0.520
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:41 -0500] GET /publisher/services/auth/login HTTP/1.1 302 - https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.625
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:42 -0500] GET /oauth2/authorize?response_type=code&client_id=9s4I5cIx9bv9VxHogQbG3ij8Pe0a&scope=apim:api_create%20apim:api_delete%20apim:api_publish%20apim:api_view%20apim:client_certificates_add%20apim:client_certificates_update%20apim:client_certificates_view%20apim:document_create%20apim:document_manage%20apim:ep_certificates_add%20apim:ep_certificates_update%20apim:ep_certificates_view%20apim:external_services_discover%20apim:mediation_policy_create%20apim:mediation_policy_manage%20apim:mediation_policy_view%20apim:pub_alert_manage%20apim:publisher_settings%20apim:subscription_block%20apim:subscription_view%20apim:threat_protection_policy_create%20apim:threat_protection_policy_manage%20openid&state=/apis&redirect_uri=https://localhost:9443/publisher/services/auth/callback/login HTTP/1.1 302 - https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.361
127.0.0.1 - - [01/Mar/2020:12:03:42 -0500] POST /oauth2/token HTTP/1.1 200 1630 - Jakarta Commons-HttpClient/3.1 0.098
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:42 -0500] GET /publisher/services/auth/callback/login?code=2b794c03-9bd6-3b14-969d-8ccb63777b1e&state=%2Fapis&session_state=e10ddcfa24511468f445ce30660969e809a12d8b2e501a43559f5565be747a4f.t696cI7s3fnor_KgATGmsw HTTP/1.1 302 - https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.185
0:0:0:0:0:0:0:1 - - [01/Mar/2020:12:03:42 -0500] GET /publisher/apis HTTP/1.1 200 1863 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.007
