2020-02-23T01:33:10,326 [-] [Framework Event Dispatcher: Equinox Container: 4f0242ee-a376-49d4-95bb-f9981569e638]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2020-02-23T01:33:10,364 [-] [Framework Event Dispatcher: Equinox Container: 4f0242ee-a376-49d4-95bb-f9981569e638]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2020-02-23T01:33:10,379 [-] [Framework Event Dispatcher: Equinox Container: 4f0242ee-a376-49d4-95bb-f9981569e638]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2020-02-23T01:48:00,260 [-] [PassThroughMessageProcessor-1]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /api/georeferencia/v1.0/emprendimientos, HEALTH CHECK URL = /api/georeferencia/v1.0/emprendimientos
2020-02-23T01:48:09,994 [-] [PassThroughMessageProcessor-2]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /api/georeferencia/v1.0/emprendimientos, HEALTH CHECK URL = /api/georeferencia/v1.0/emprendimientos
2020-02-23T01:48:11,468 [-] [PassThroughMessageProcessor-3]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /api/georeferencia/v1.0/emprendimientos, HEALTH CHECK URL = /api/georeferencia/v1.0/emprendimientos
2020-02-23T01:49:07,783 [-] [PassThroughMessageProcessor-4]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /api/georeferencia/v1.0/emprendimientos, HEALTH CHECK URL = /api/georeferencia/v1.0/emprendimientos
2020-02-23T01:49:09,354 [-] [PassThroughMessageProcessor-5]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /api/georeferencia/v1.0/emprendimientos, HEALTH CHECK URL = /api/georeferencia/v1.0/emprendimientos
2020-02-23T03:17:14,203 [-] [PassThroughMessageProcessor-305]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /api/georeferencia/test/v1.0/emprendimientos, HEALTH CHECK URL = /api/georeferencia/test/v1.0/emprendimientos
2020-02-23T04:16:43,012 [-] [PassThroughMessageProcessor-306]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /api/georeferencia/test/v1.0/emprendimientos, HEALTH CHECK URL = /api/georeferencia/test/v1.0/emprendimientos
2020-02-24T21:02:56,856 [-] [Component Resolve Thread (Bundle 144)]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2020-02-24T21:02:56,891 [-] [Component Resolve Thread (Bundle 144)]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2020-02-24T21:02:56,895 [-] [Component Resolve Thread (Bundle 144)]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2020-02-24T22:02:15,548 [-] [PassThroughMessageProcessor-21]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /api/v1/mapa-digital/sectors, HEALTH CHECK URL = /api/v1/mapa-digital/sectors
2020-02-24T22:05:39,095 [-] [PassThroughMessageProcessor-22]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /api/v1/mapa-digital/sectors, HEALTH CHECK URL = /api/v1/mapa-digital/sectors
2020-02-24T22:17:10,593 [-] [PassThroughMessageProcessor-84]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /api/mapa-digital/v1.0/sectors, HEALTH CHECK URL = /api/mapa-digital/v1.0/sectors
2020-02-24T22:19:05,914 [-] [PassThroughMessageProcessor-85]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /api/mapa-digital/v1.0/sectors, HEALTH CHECK URL = /api/mapa-digital/v1.0/sectors
2020-02-24T22:19:07,885 [-] [PassThroughMessageProcessor-86]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /api/mapa-digital/v1.0/sectors, HEALTH CHECK URL = /api/mapa-digital/v1.0/sectors
2020-02-24T22:31:33,183 [-] [PassThroughMessageProcessor-115]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico, HEALTH CHECK URL = /favicon.ico
2020-02-24T22:33:05,881 [-] [PassThroughMessageProcessor-118]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = //api/mapa-digital/v1.0/sectors, HEALTH CHECK URL = //api/mapa-digital/v1.0/sectors
2020-02-24T22:37:09,215 [-] [PassThroughMessageProcessor-139]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico, HEALTH CHECK URL = /favicon.ico
2020-02-25T00:54:10,294 [-] [PassThroughMessageProcessor-274]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /oauth2/introspect, HEALTH CHECK URL = /oauth2/introspect
2020-02-25T00:57:12,907 [-] [PassThroughMessageProcessor-275]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /introspect, HEALTH CHECK URL = /introspect
2020-02-25T00:57:16,382 [-] [PassThroughMessageProcessor-276]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /introspect, HEALTH CHECK URL = /introspect
2020-02-25T00:57:55,209 [-] [PassThroughMessageProcessor-277]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /introspect, HEALTH CHECK URL = /introspect
2020-02-25T00:58:19,427 [-] [PassThroughMessageProcessor-278]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /introspect, HEALTH CHECK URL = /introspect
2020-02-25T00:58:47,450 [-] [PassThroughMessageProcessor-279]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /introspect, HEALTH CHECK URL = /introspect
2020-02-25T00:59:06,194 [-] [PassThroughMessageProcessor-280]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /oauth2/introspect, HEALTH CHECK URL = /oauth2/introspect
